title,year,report_type,url,filename,source_page
BK Announces Reviewed Q3 2016 and 9M 2016,2016,press-release,https://bk.rw/uploads/BK_Financial_results_Q3_2016_753116b920.pdf,BK_Financial_results_Q3_2016_753116b920.pdf,https://bk.rw/en/about/document-center
"BK Announces Reviewed, IFRS-Based Q2 2016 & 1H 2016",2016,press-release,https://bk.rw/uploads/Bank_of_Kigali_Announces_Reviewed_Q2_2016_and_1_H_2016_Results_ec5f2a1a3f.pdf,Bank_of_Kigali_Announces_Reviewed_Q2_2016_and_1_H_2016_Results_ec5f2a1a3f.pdf,https://bk.rw/en/about/document-center
BK Annual Integrated Report,2025,annual-reports,https://bk.rw/uploads/BK_Annual_Integrated_Report_FY_2025_6_994e12bbc6.pdf,BK_Annual_Integrated_Report_FY_2025_6_994e12bbc6.pdf,https://bk.rw/en/about/document-center
BK Integrated Annual Report,2024,annual-reports,https://bk.rw/uploads/BK_Integrated_Annual_Report_2024_1_2fb684c274.pdf,BK_Integrated_Annual_Report_2024_1_2fb684c274.pdf,https://bk.rw/en/about/document-center
BK Group Annual report,2024,annual-reports,https://bk.rw/uploads/3_BK_GROUP_PLC_ANNUAL_REPORT_2024_0c4461d3c9.pdf,3_BK_GROUP_PLC_ANNUAL_REPORT_2024_0c4461d3c9.pdf,https://bk.rw/en/about/document-center
Bank of Kigali Annual Report,2023,annual-reports,https://bk.rw/uploads/Bank_of_Kigali_Annual_Report_2023_2_e8631b2625.pdf,Bank_of_Kigali_Annual_Report_2023_2_e8631b2625.pdf,https://bk.rw/en/about/document-center
BK Group Annual Integrated Report,2023,annual-reports,https://bk.rw/uploads/BK_Group_Annual_Intergrated_report_2023_242e57b27e.pdf,BK_Group_Annual_Intergrated_report_2023_242e57b27e.pdf,https://bk.rw/en/about/document-center
BK Group Annual Integrated Report,2022,annual-reports,https://bk.rw/uploads/BK_Group_Plc_Annual_Intergrated_Report_2022_05ae519cc1.pdf,BK_Group_Plc_Annual_Intergrated_Report_2022_05ae519cc1.pdf,https://bk.rw/en/about/document-center
Bank of Kigali Annual Report,2022,annual-reports,https://bk.rw/uploads/Bank_of_Kigali_AIR_2022_731e5ad4be.pdf,Bank_of_Kigali_AIR_2022_731e5ad4be.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2016,annual-reports,https://bk.rw/uploads/Annual_Report_2016_40bc4bffd6.pdf,Annual_Report_2016_40bc4bffd6.pdf,https://bk.rw/en/about/document-center
BK Group Annual Integrated Report,2021,annual-reports,https://bk.rw/uploads/BK_Group_Integrated_Annual_Report_2021_9d9db6c026.pdf,BK_Group_Integrated_Annual_Report_2021_9d9db6c026.pdf,https://bk.rw/en/about/document-center
BK Annual Integrated Report,2020,annual-reports,https://bk.rw/uploads/BK_Annual_Integrated_Report_2020_37ca6970f2.pdf,BK_Annual_Integrated_Report_2020_37ca6970f2.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2019,annual-reports,https://bk.rw/uploads/BK_Group_Plc_2019_Annual_Report_d985923474.pdf,BK_Group_Plc_2019_Annual_Report_d985923474.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2018,annual-reports,https://bk.rw/uploads/BK_annual_Report_2018_f64724a166.pdf,BK_annual_Report_2018_f64724a166.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2017,annual-reports,https://bk.rw/uploads/BK_Annual_Report_2017_0135f79bc7.pdf,BK_Annual_Report_2017_0135f79bc7.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2015,annual-reports,https://bk.rw/uploads/Annual_Report_2016_ff74f2993b.pdf,Annual_Report_2016_ff74f2993b.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2014,annual-reports,https://bk.rw/uploads/Annual_Report_2014_eb3accf3b8.pdf,Annual_Report_2014_eb3accf3b8.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2013,annual-reports,https://bk.rw/uploads/2013_Annual_Report_622dae7fda.pdf,2013_Annual_Report_622dae7fda.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2012,annual-reports,https://bk.rw/uploads/Annual_Report_2012_d26a01d3aa.pdf,Annual_Report_2012_d26a01d3aa.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2011,annual-reports,https://bk.rw/uploads/2011_annual_reports_2037e6f4af.pdf,2011_annual_reports_2037e6f4af.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2010,annual-reports,https://bk.rw/uploads/2010_annual_reports_461a8c21db.pdf,2010_annual_reports_461a8c21db.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2009,annual-reports,https://bk.rw/uploads/ANNUAL_Report_2009_Bank_of_KIGALI_last_versionf_61ca7a0763.pdf,ANNUAL_Report_2009_Bank_of_KIGALI_last_versionf_61ca7a0763.pdf,https://bk.rw/en/about/document-center
BK Annual Report,2008,annual-reports,https://bk.rw/uploads/Annual_report_2008_1_9e2312159d.pdf,Annual_report_2008_1_9e2312159d.pdf,https://bk.rw/en/about/document-center
BK Group Plc Condensed Consolidated Financial Statements FY 2020,2020,other-material,https://bk.rw/uploads/Financial_Statements_FY_2020_1_7c54c393a4.pdf,Financial_Statements_FY_2020_1_7c54c393a4.pdf,https://bk.rw/en/about/document-center
BK Group Plc Condensed Consolidated Financial Statements FY 2020,2020,other-material,https://bk.rw/uploads/BK_Group_Plc_1_8fe51d1d60.pdf,BK_Group_Plc_1_8fe51d1d60.pdf,https://bk.rw/en/about/document-center
