title,year,category,url,filename
HF Group Annual Report 2024,2024,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2024/HF%20Group%20Plc%202024%20Annual%20Report.pdf,HF Group Plc 2024 Annual Report.pdf
HF Group Annual Report 2023,2023,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2023/HF%20Group%20Annual%20Report%202023.pdf,HF Group Annual Report 2023.pdf
HF Group Annual Report 2022,2022,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2022/HF%20Group%202022%20Annual%20Report.pdf,HF Group 2022 Annual Report.pdf
HF Group Annual Report 2021,2021,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2021/HF-Group-Plc-2021-Annual-Report.pdf,HF-Group-Plc-2021-Annual-Report.pdf
HF Group Annual Report 2020,2020,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2020/HF-Group-Plc-2020-Annual-Report.pdf,HF-Group-Plc-2020-Annual-Report.pdf
HF Group Annual Report 2019,2019,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2019/HF-Group-Plc-2019-Annual-Report.pdf,HF-Group-Plc-2019-Annual-Report.pdf
HF Group Annual Report 2019 (April Edition),2019,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2019/HF-Annual-Report-18TH-April-2019-18-44.pdf,HF-Annual-Report-18TH-April-2019-18-44.pdf
HF Group Annual Report 2018,2018,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2018/HF-Group-Plc-2018-Annual-Report.pdf,HF-Group-Plc-2018-Annual-Report.pdf
HF Group Annual Report 2017,2017,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2017/HF-Annual-Report-2017-.pdf,HF-Annual-Report-2017-.pdf
HF Group Annual Report 2016,2016,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2016/HF-Annual-Report-2016---Low-Res-for-Web.pdf,HF-Annual-Report-2016---Low-Res-for-Web.pdf
HF Group Annual Report 2015,2015,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2015/HF-Annual-Report-2015.pdf,HF-Annual-Report-2015.pdf
HF Group Annual Report 2014,2014,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2014/HF-Annual-Report-Final-2014.pdf,HF-Annual-Report-Final-2014.pdf
HF Group Annual Report 2013,2013,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2013/Annual-Report--FS-2013.pdf,Annual-Report--FS-2013.pdf
HF Group Annual Report 2012,2012,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2012/annualreport2012.pdf,annualreport2012.pdf
HF Group Annual Report 2011,2011,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2011/hf-annual-report-2011.pdf,hf-annual-report-2011.pdf
HF Group Annual Report 2010,2010,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2010/annualreport2010.pdf,annualreport2010.pdf
HF Group Annual Report 2009,2009,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2009/annualreport2009.pdf,annualreport2009.pdf
